data      ;hora ;canal;valor ;estado
2026-01-01;00:00;VERM ; 10.57;ok  
2026-02-02;01:07;VERD ; 11.63;ok  
2026-03-03;02:14;AZUL ; 12.82;ok  
2026-04-04;03:21;VERM ; 13.28;ok  
2026-05-05;04:28;VERD ; 14.65;ok  
2026-06-06;05:35;AZUL ; 15.89;ok  
2026-07-07;06:42;VERM ; 16.91;ok  
2026-08-08;07:49;VERD ; 17.19;espe
2026-09-09;08:56;AZUL ; 18.65;espe
2026-10-10;09:03;VERM ; 19.62;espe
2026-11-11;10:10;VERD ; 20.50;espe
2026-12-12;11:17;AZUL ; 21.97;espe
2026-01-13;12:24;VERM ; 22.53;espe
2026-02-14;13:31;VERD ; 23.45;espe
2026-03-15;14:38;AZUL ; 24.94;falh
2026-04-16;15:45;VERM ; 25.64;falh
2026-05-17;16:52;VERD ; 26.30;falh
2026-06-18;17:59;AZUL ; 27.31;falh
2026-07-19;18:06;VERM ; 28.50;falh
2026-08-20;19:13;VERD ; 29.05;falh
2026-09-21;20:20;AZUL ; 30.61;falh
2026-10-22;21:27;VERM ; 31.74;ok  
2026-11-23;22:34;VERD ; 32.43;ok  
2026-12-24;23:41;AZUL ; 33.85;ok  
2026-01-25;00:48;VERM ; 34.93;ok  
2026-02-26;01:55;VERD ; 35.56;ok  
2026-03-27;02:02;AZUL ; 36.68;ok  
2026-04-28;03:09;VERM ; 37.12;ok  
2026-05-01;04:16;VERD ; 38.06;espe
2026-06-02;05:23;AZUL ; 39.98;espe
2026-07-03;06:30;VERM ; 40.28;espe
2026-08-04;07:37;VERD ; 41.21;espe
2026-09-05;08:44;AZUL ; 42.90;espe
2026-10-06;09:51;VERM ; 43.75;espe
2026-11-07;10:58;VERD ; 44.12;espe
2026-12-08;11:05;AZUL ; 45.32;falh
2026-01-09;12:12;VERM ; 46.24;falh
2026-02-10;13:19;VERD ; 47.27;falh
2026-03-11;14:26;AZUL ; 48.01;falh
2026-04-12;15:33;VERM ; 49.52;falh
2026-05-13;16:40;VERD ; 50.30;falh
2026-06-14;17:47;AZUL ; 51.39;falh
2026-07-15;18:54;VERM ; 52.19;ok  
2026-08-16;19:01;VERD ; 53.11;ok  
2026-09-17;20:08;AZUL ; 54.03;ok  
2026-10-18;21:15;VERM ; 55.87;ok  
2026-11-19;22:22;VERD ; 56.75;ok  
2026-12-20;23:29;AZUL ; 57.56;ok  
2026-01-21;00:36;VERM ; 58.12;ok  
